Length,Thickness,Tref,Tamb,E1,CTE1,E2,CTE2,deflection,LT_Ratio,Temp_Diff
10,0.1,170,70,3.00E+07,1.00E-05,3.00E+07,2.00E-05,7.52E-01,100,100
9,0.1,70,170,30000000,1.00E-05,30000000,2.00E-05,0.609,90,-100
9,0.15,70,170,30000000,1.00E-05,30000000,2.00E-05,0.406,60,-100
10,0.15,70,170,30000000,1.00E-05,30000000,2.00E-05,0.501,66.67,-100
10,0.15,119,170,30000000,1.00E-05,30000000,2.00E-05,0.256,66.67,-51
11,0.15,119,37,30000000,1.00E-05,30000000,2.00E-05,-0.497,73.33,82
10,0.15,119,170,30000000,1.00E-05,30000000,2.00E-05,0.256,66.67,-51
11,0.15,119,37,30000000,1.00E-05,30000000,2.00E-05,-0.497,73.33,82
